Rapo2011hierarkia Taso 00 - Avain - Category Code,Rapo2011hierarkia Taso 00 - Avain - Pitkä nimi,Rapo2011hierarkia Taso 03 - Avain - Category Code,Rapo2011hierarkia Taso 03 - Avain - Pitkä nimi,Rapo2011hierarkia Taso 05 - Avain - Category Code,Rapo2011hierarkia Taso 05 - Avain - Pitkä nimi,Summataso3 - Category Code,Summataso3 - Pitkä nimi,Tilinumero Taso 0 - Avain - Pitkä nimi,Tilinumero Taso 0 - Avain - Category Code,Budjetti eur,Toteuma eur
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/880600 Tietokonelaitteet,TILI/880600,0,356 297
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/880900 Muut koneet ja kalusto,TILI/880900,0,3 635 154
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/881000 Muut aineelliset hyödykkeet,TILI/881000,0,41 353
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/881200 Tietokoneohjelmistot,TILI/881200,0,531 485
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/961200 Sis.kalusto,TILI/961200,0,294
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,Muut toimintakulut,Muut toimintakulut,TILI/495000 Muut kulut,TILI/495000,0,3 871
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,Muut toimintakulut,Muut toimintakulut,TILI/499000 Aktivoidut muut kulut,TILI/499000,0,-3 871
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR620.11,Osakkeet ja osuudet,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/464100 Valmiin käyttöomaisuuden aktivointi,TILI/464100,0,-1 376
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR620.11,Osakkeet ja osuudet,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/881100 Osakkeet ja osuudet,TILI/881100,0,1 376
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR621.11,Tilapalvelu sijoitet,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/464100 Valmiin käyttöomaisuuden aktivointi,TILI/464100,0,-34 934 604
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR621.11,Tilapalvelu sijoitet,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/881100 Osakkeet ja osuudet,TILI/881100,0,34 934 604
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,"TILI/434000 Toimisto-, pankki- ja asiantuntijapalvelut",TILI/434000,0,21 362
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/435000 Painatukset ja ilmoitukset,TILI/435000,0,1 081
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/438000 Puhtaanapito- ja pesulapalvelut,TILI/438000,0,2 410
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/439000 Rakennusten ja alueiden rakentamis- ja kunnossapito,TILI/439000,0,1 450 557
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,"TILI/440000 Koneiden, kaluston ja laitteiden rakentamis- ja ku",TILI/440000,0,2 083
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/442000 Matkustus- ja kuljetuspalvelut,TILI/442000,0,7 421
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/447000 Muut palvelut,TILI/447000,0,1 220
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/448000 Aktivoidut palvelujen ostot,TILI/448000,0,-1 486 134
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/448100 Aktivoidut sisäiset palvelujen ostot,TILI/448100,0,-1 623
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,"TILI/950100 Sis.toimisto-, pankki- ja asiantuntijapalvelut",TILI/950100,0,123
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/950400 Sis.puhtaanapito- ja pesulapalvelut,TILI/950400,0,350
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,TILI/950500 Sis.rakennusten ja alueiden rakentamis- ja kunnoss,TILI/950500,0,628
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Palvelujen ostot,Palvelujen ostot,"TILI/950600 Sis.koneiden, kaluston ja laitteiden rakentamis- j",TILI/950600,0,522
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/457200 Sähkö,TILI/457200,0,1 778
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/458000 Kalusto,TILI/458000,0,124 079
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/460000 Muu materiaali,TILI/460000,0,934
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat","TILI/464000 Käyttöomaisuuteen aktivoidut aineet, tarvikkeet ja",TILI/464000,0,-126 778
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/464100 Valmiin käyttöomaisuuden aktivointi,TILI/464100,0,-30 000
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/465000 Saadut käteisalennukset,TILI/465000,0,-12
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/880500 Kiinteät rakenteet ja laitteet,TILI/880500,0,30 000
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Muut toimintakulut,Muut toimintakulut,TILI/484000 Koneiden ja laitteiden vuokrat,TILI/484000,0,3 389
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Muut toimintakulut,Muut toimintakulut,TILI/495000 Muut kulut,TILI/495000,0,666
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR630.11,Urheilu- ja retkeily,Muut toimintakulut,Muut toimintakulut,TILI/499000 Aktivoidut muut kulut,TILI/499000,0,-4 055
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/406500 Aktivoidut palkat ja palkkiot,TILI/406500,0,-519 684
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,"TILI/434000 Toimisto-, pankki- ja asiantuntijapalvelut",TILI/434000,0,2 200
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/435000 Painatukset ja ilmoitukset,TILI/435000,0,14 643
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/439000 Rakennusten ja alueiden rakentamis- ja kunnossapito,TILI/439000,0,15 919 561
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/441000 Majoitus- ja ravitsemispalvelut,TILI/441000,0,159
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/448000 Aktivoidut palvelujen ostot,TILI/448000,0,-15 936 564
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/448100 Aktivoidut sisäiset palvelujen ostot,TILI/448100,0,-6 862 261
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,"TILI/448200 Cats, toimintolajikohdistus",TILI/448200,0,519 684
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/950200 Sis.painatukset ja ilmoitukset,TILI/950200,0,21 310
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Palvelujen ostot,Palvelujen ostot,TILI/950500 Sis.rakennusten ja alueiden rakentamis- ja kunnoss,TILI/950500,0,6 840 950
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/452000 Elintarvikkeet,TILI/452000,0,38
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/460000 Muu materiaali,TILI/460000,0,506
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat","TILI/464000 Käyttöomaisuuteen aktivoidut aineet, tarvikkeet ja",TILI/464000,0,-544
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Muut toimintakulut,Muut toimintakulut,TILI/482000 Rakennusten ja huoneistojen vuokrat,TILI/482000,0,73
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Muut toimintakulut,Muut toimintakulut,TILI/495000 Muut kulut,TILI/495000,0,500
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Muut toimintakulut,Muut toimintakulut,TILI/499000 Aktivoidut muut kulut,TILI/499000,0,-573
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Muut toimintakulut,Muut toimintakulut,TILI/499300 Aktivoidut sisäiset muut kulut,TILI/499300,0,-5 080
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Muut toimintakulut,Muut toimintakulut,TILI/980200 Sis.rakennusten ja huoneistojen vuokrat,TILI/980200,0,80
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR640.11,Kunnallistekniikka,Muut toimintakulut,Muut toimintakulut,TILI/980500 Sis.muut kulut,TILI/980500,0,5 000
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Henkilöstökulut,Henkilöstökulut,TILI/400000 Maksetut palkat ja palkkiot,TILI/400000,230 000,216 952
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Henkilöstökulut,Henkilöstökulut,TILI/410000 KuEL-maksut/Palkkaperusteiset maksut,TILI/410000,0,3 619
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Henkilöstökulut,Henkilöstökulut,TILI/410100 KuEL-maksut/Eläkemenoperusteiset maksut,TILI/410100,3 877,3 877
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Henkilöstökulut,Henkilöstökulut,TILI/415000 Kansaneläke- ja sairausvakuutusmaksut,TILI/415000,5 100,475
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Henkilöstökulut,Henkilöstökulut,TILI/416000 Työttömyysvakuutusmaksut,TILI/416000,7 500,2
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Henkilöstökulut,Henkilöstökulut,TILI/417000 Tapaturmavakuutusmaksut (sisäinen),TILI/417000,900,0
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,"TILI/434000 Toimisto-, pankki- ja asiantuntijapalvelut",TILI/434000,30 825,22 447
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,TILI/435000 Painatukset ja ilmoitukset,TILI/435000,10 000,4 357
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,TILI/436000 Posti- ja telepalvelut,TILI/436000,3 000,2 547
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,TILI/441000 Majoitus- ja ravitsemispalvelut,TILI/441000,24 000,22 782
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,TILI/442000 Matkustus- ja kuljetuspalvelut,TILI/442000,20 000,15 055
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,TILI/444000 Opetus- ja kulttuuripalvelut,TILI/444000,7 000,1 215
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,TILI/447000 Muut palvelut,TILI/447000,13 000,43 054
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,"TILI/950100 Sis.toimisto-, pankki- ja asiantuntijapalvelut",TILI/950100,3 025,3 025
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Palvelujen ostot,Palvelujen ostot,TILI/950300 Sis.posti- ja telepalvelut,TILI/950300,750,750
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/450000 Toimisto- ja koulutarvikkeet,TILI/450000,8 000,817
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/451000 Kirjallisuus,TILI/451000,9 000,8 106
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/452000 Elintarvikkeet,TILI/452000,1 000,455
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/458000 Kalusto,TILI/458000,0,1 338
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/460000 Muu materiaali,TILI/460000,1 000,870
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/961400 Sis.muu materiaali,TILI/961400,0,703
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Avustukset,Avustukset,TILI/474000 Avustukset yhteisöille,TILI/474000,37 500,38 857
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PAL100.11,Konsernihallinto,1111MR100.11,Kaupunginvaltuusto,Muut toimintakulut,Muut toimintakulut,TILI/482000 Rakennusten ja huoneistojen vuokrat,TILI/482000,1 000,1 598
